Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.9,Tata Consultancy Services,24389,"17,558","43,415",/yr
3.9,XYZ (Turkey),1123950,"6,43,888","21,65,986",/yr
3.9,WhiteHat Jr,31321,"24,156","54,146",/yr
3.9,Dun & Bradstreet,12852,"10,309","21,821",/yr
3.9,Lenovo,402682,"4,80,395","5,26,311",/yr
3.9,(no)name,758163,"6,17,726","12,77,681",/yr
3.9,Publicis Sapient,27424,"31,242","37,318",/yr
3.9,Western Digital,1072787,"10,25,679","16,56,288",/yr
3.9,Rahul Industries,471556,"4,90,269","6,88,622",/yr
3.9,XYZ,23541,"24,678","34,174",/yr
3.9,ZS Associates,24666,"19,237","42,427",/yr
3.9,Tata Consultancy Services,850808,"7,88,121","13,38,900",/yr
3.9,Maybank,1147775,"12,68,762","16,00,675",/yr
3.9,Walmart Global Tech,61692,"55,677","98,552",/yr
3.9,Honeywell,57825,"68,281","76,282",/yr
3.9,Don't Know,34308,"24,941","60,830",/yr
3.9,Octro,32918,"39,654","42,642",/yr
3.9,Genpact,51634,"61,492","67,593",/yr
3.9,Social Prachar,29541,"35,345","38,507",/yr
3.9,Western Digital,401124,"4,83,245","5,19,565",/yr
3.9,XYZ (Turkey),28580,"34,347","37,103",/yr
3.9,TheMathCompany,478964,"5,76,875","6,20,535",/yr
3.9,Walmart Global Tech,663180,"7,96,260","8,61,690",/yr
3.9,The Sparks Foundation,28697,"34,438","37,305",/yr
3.9,Social Prachar,28154,"33,904","36,480",/yr
3.9,Brillio,21443,"25,833","27,774",/yr
3.9,Yes Bank,83650,"99,872","1,09,252",/yr
3.9,CareerGuide.com,4096,"4,891","5,349",/yr
3.9,Social Prachar,7198,"8,606","9,389",/yr
3.9,Maybank,46904,"56,703","60,558",/yr
3.9,1mg,42433,"50,826","55,256",/yr
3.9,Dr. Reddy's,16805,"20,134","21,878",/yr
3.9,WhiteHat Jr,10107,"12,063","13,205",/yr
3.9,Vidooly Media Tech,10990,"13,121","14,353",/yr
3.9,Tata Consultancy Services,931124,"5,12,507","18,15,302",/yr
3.9,Quadratic Insights,20364,"24,430","26,479",/yr
3.9,Quantiphi,10478,"12,520","13,675",/yr
3.9,Bounce,27186,"32,556","35,408",/yr
3.9,IntellectFaces,12358,"14,816","16,080",/yr
3.9,CommerceIQ,83174,"1,00,085","1,07,851",/yr
3.9,DBS Bank,50101,"60,239","65,013",/yr
3.9,Rahul Industries,46752,"56,141","60,738",/yr
3.9,PwC,401260,"4,83,985","5,19,165",/yr
3.9,Don't Know,1473246,"17,57,399","19,25,715",/yr
3.9,Verizon,1139304,"13,64,421","14,83,839",/yr
3.9,Oracle,1017269,"12,22,177","13,20,995",/yr
3.9,The Sparks Foundation,445034,"5,36,535","5,76,051",/yr
3.9,Schlumberger,46752,"56,141","60,738",/yr
3.9,CommerceIQ,1833438,"21,85,422","23,98,173",/yr
3.9,ABC,931124,"5,12,507","18,15,302",/yr
3.9,ABC,549369,"1,11,064","12,62,358",/yr
3.9,Tata Consultancy Services,1166844,"4,72,735","24,44,376",/yr
3.9,MetLife,950799,"2,91,912","20,85,085",/yr
3.9,HARMAN,3150375,"6,35,356","72,40,582",/yr
3.9,Loylty Rewardz Mngt,1278815,"10,38,314","21,58,723",/yr
3.9,CASHe,844277,"6,24,508","14,86,184",/yr
3.9,Unified Healthcare Group,1441042,"8,71,425","27,31,179",/yr
3.9,XYZ,515004,"2,49,195","10,38,314",/yr
3.9,Rolls-Royce,914163,"8,41,572","14,43,835",/yr
3.9,Yes Bank,820982,"2,10,393","18,42,062",/yr
3.9,1mg,1359137,"9,99,578","23,98,264",/yr
3.9,ATCS,819484,"5,48,710","15,00,000",/yr
3.9,Apar Technologies,931124,"5,12,507","18,15,302",/yr
3.9,Kyndryl,1791495,"9,22,512","35,56,226",/yr
3.9,GEP,946286,"8,65,716","15,00,000",/yr
3.9,Franklin Templeton Investments,1249174,"12,71,494","18,51,441",/yr
3.9,Square Panda,670451,"6,76,550","9,99,578",/yr
3.9,DBS Bank,1802092,"7,58,181","37,47,048",/yr
3.9,Mbb Labs,1000310,"11,50,967","13,49,809",/yr
3.9,ABCDEF,2239230,"4,73,009","51,25,067",/yr
3.9,Shubh Loans,724908,"5,21,271","12,91,000",/yr
3.9,Amdocs,948781,"6,66,385","17,05,567",/yr
3.9,CRISIL,786764,"3,85,435","15,81,475",/yr
3.9,Cognizant,868426,"3,37,784","18,33,282",/yr
3.9,Dr. Reddy's,4244098,"14,43,835","91,66,409",/yr
